VTX, IDX, _input0.x, _input0.y, _input0.z, _input2.x, _input2.y, _input2.z, _input3.x, _input3.y, _input3.z, _input3.w, _input1.x, _input1.y, _input4.x, _input4.y, _input5.x, _input5.y, _input5.z, _input6.x, _input6.y, _input6.z, _input6.w, _input7.x, _input7.y, _input7.z, _input7.w
42, 16, -0.05944, -0.10925, 1.6449, -0.11787, 0.25943, -0.95854, -0.77111, 0.58429, 0.25297, -1.00, 0.62523, 0.99457, 0.00099, -0.00667, -0.05944, -0.10925, 1.6449, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
43, 14, -0.0548, -0.11252, 1.64361, -0.06776, 0.20676, -0.97604, -0.82613, 0.53688, 0.17108, -1.00, 0.61753, 0.99457, 0.00393, 0.00613, -0.0548, -0.11252, 1.64361, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
44, 15, -0.05541, -0.11343, 1.64347, -0.06755, 0.20655, -0.9761, -0.82636, 0.53664, 0.17074, -1.00, 0.61753, 0.99665, 0.00479, 0.82115, -0.05541, -0.11343, 1.64347, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
45, 16, -0.05944, -0.10925, 1.6449, -0.11787, 0.25943, -0.95854, -0.77111, 0.58429, 0.25297, -1.00, 0.62523, 0.99457, 0.00099, -0.00667, -0.05944, -0.10925, 1.6449, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
46, 15, -0.05541, -0.11343, 1.64347, -0.06755, 0.20655, -0.9761, -0.82636, 0.53664, 0.17074, -1.00, 0.61753, 0.99665, 0.00479, 0.82115, -0.05541, -0.11343, 1.64347, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
47, 17, -0.06014, -0.1101, 1.64474, -0.11786, 0.25942, -0.95855, -0.77141, 0.58393, 0.25289, -1.00, 0.62523, 0.99665, -0.00939, 0.81887, -0.06014, -0.1101, 1.64474, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
48, 18, -0.06402, -0.10695, 1.64626, -0.1492, 0.29696, -0.94316, -0.71572, 0.6257, 0.31022, -1.00, 0.63204, 0.99665, -0.00264, 0.82255, -0.06402, -0.10695, 1.64626, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
49, 16, -0.05944, -0.10925, 1.6449, -0.11787, 0.25943, -0.95854, -0.77111, 0.58429, 0.25297, -1.00, 0.62523, 0.99457, 0.00099, -0.00667, -0.05944, -0.10925, 1.6449, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
50, 17, -0.06014, -0.1101, 1.64474, -0.11786, 0.25942, -0.95855, -0.77141, 0.58393, 0.25289, -1.00, 0.62523, 0.99665, -0.00939, 0.81887, -0.06014, -0.1101, 1.64474, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
51, 18, -0.06402, -0.10695, 1.64626, -0.1492, 0.29696, -0.94316, -0.71572, 0.6257, 0.31022, -1.00, 0.63204, 0.99665, -0.00264, 0.82255, -0.06402, -0.10695, 1.64626, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
52, 19, -0.06326, -0.10611, 1.6464, -0.14938, 0.2972, -0.94306, -0.71501, 0.62632, 0.31064, -1.00, 0.63204, 0.99457, 0.00005, 0.00413, -0.06326, -0.10611, 1.6464, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
53, 16, -0.05944, -0.10925, 1.6449, -0.11787, 0.25943, -0.95854, -0.77111, 0.58429, 0.25297, -1.00, 0.62523, 0.99457, 0.00099, -0.00667, -0.05944, -0.10925, 1.6449, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
54, 20, -0.06717, -0.10402, 1.64776, -0.17058, 0.33505, -0.92663, -0.66457, 0.65521, 0.35924, -1.00, 0.63797, 0.99665, -0.00626, 0.81885, -0.06717, -0.10402, 1.64776, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
55, 19, -0.06326, -0.10611, 1.6464, -0.14938, 0.2972, -0.94306, -0.71501, 0.62632, 0.31064, -1.00, 0.63204, 0.99457, 0.00005, 0.00413, -0.06326, -0.10611, 1.6464, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
56, 18, -0.06402, -0.10695, 1.64626, -0.1492, 0.29696, -0.94316, -0.71572, 0.6257, 0.31022, -1.00, 0.63204, 0.99665, -0.00264, 0.82255, -0.06402, -0.10695, 1.64626, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
57, 20, -0.06717, -0.10402, 1.64776, -0.17058, 0.33505, -0.92663, -0.66457, 0.65521, 0.35924, -1.00, 0.63797, 0.99665, -0.00626, 0.81885, -0.06717, -0.10402, 1.64776, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
58, 21, -0.06635, -0.10323, 1.6479, -0.17083, 0.33559, -0.92639, -0.66383, 0.65559, 0.3599, -1.00, 0.63797, 0.99457, 0.00136, -0.00156, -0.06635, -0.10323, 1.6479, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
59, 19, -0.06326, -0.10611, 1.6464, -0.14938, 0.2972, -0.94306, -0.71501, 0.62632, 0.31064, -1.00, 0.63204, 0.99457, 0.00005, 0.00413, -0.06326, -0.10611, 1.6464, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
60, 22, -0.0699, -0.10117, 1.64942, -0.19688, 0.3865, -0.90103, -0.61199, 0.66954, 0.42092, -1.00, 0.64355, 0.99665, -0.0033, 0.81033, -0.0699, -0.10117, 1.64942, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
61, 21, -0.06635, -0.10323, 1.6479, -0.17083, 0.33559, -0.92639, -0.66383, 0.65559, 0.3599, -1.00, 0.63797, 0.99457, 0.00136, -0.00156, -0.06635, -0.10323, 1.6479, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
62, 20, -0.06717, -0.10402, 1.64776, -0.17058, 0.33505, -0.92663, -0.66457, 0.65521, 0.35924, -1.00, 0.63797, 0.99665, -0.00626, 0.81885, -0.06717, -0.10402, 1.64776, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
63, 22, -0.0699, -0.10117, 1.64942, -0.19688, 0.3865, -0.90103, -0.61199, 0.66954, 0.42092, -1.00, 0.64355, 0.99665, -0.0033, 0.81033, -0.0699, -0.10117, 1.64942, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
64, 23, -0.06902, -0.10043, 1.64955, -0.19712, 0.38693, -0.9008, -0.61135, 0.66978, 0.42148, -1.00, 0.64355, 0.99457, 0.00145, -0.00313, -0.06902, -0.10043, 1.64955, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
65, 21, -0.06635, -0.10323, 1.6479, -0.17083, 0.33559, -0.92639, -0.66383, 0.65559, 0.3599, -1.00, 0.63797, 0.99457, 0.00136, -0.00156, -0.06635, -0.10323, 1.6479, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
66, 24, -0.07157, -0.0975, 1.65152, -0.22499, 0.4317, -0.87351, -0.56004, 0.67632, 0.47849, -1.00, 0.64932, 0.99457, 0.00178, -0.00093, -0.07157, -0.0975, 1.65152, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
67, 23, -0.06902, -0.10043, 1.64955, -0.19712, 0.38693, -0.9008, -0.61135, 0.66978, 0.42148, -1.00, 0.64355, 0.99457, 0.00145, -0.00313, -0.06902, -0.10043, 1.64955, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
68, 22, -0.0699, -0.10117, 1.64942, -0.19688, 0.3865, -0.90103, -0.61199, 0.66954, 0.42092, -1.00, 0.64355, 0.99665, -0.0033, 0.81033, -0.0699, -0.10117, 1.64942, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
69, 24, -0.07157, -0.0975, 1.65152, -0.22499, 0.4317, -0.87351, -0.56004, 0.67632, 0.47849, -1.00, 0.64932, 0.99457, 0.00178, -0.00093, -0.07157, -0.0975, 1.65152, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
70, 22, -0.0699, -0.10117, 1.64942, -0.19688, 0.3865, -0.90103, -0.61199, 0.66954, 0.42092, -1.00, 0.64355, 0.99665, -0.0033, 0.81033, -0.0699, -0.10117, 1.64942, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
71, 25, -0.0725, -0.09819, 1.65141, -0.22495, 0.43164, -0.87355, -0.5606, 0.67594, 0.47836, -1.00, 0.64932, 0.99665, -0.00025, 0.81017, -0.0725, -0.09819, 1.65141, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
72, 26, -0.07358, -0.09495, 1.65343, -0.29162, 0.48129, -0.82663, -0.48869, 0.66793, 0.5613, -1.00, 0.65437, 0.99457, 0.02272, -0.00743, -0.07358, -0.09495, 1.65343, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
73, 24, -0.07157, -0.0975, 1.65152, -0.22499, 0.4317, -0.87351, -0.56004, 0.67632, 0.47849, -1.00, 0.64932, 0.99457, 0.00178, -0.00093, -0.07157, -0.0975, 1.65152, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
74, 25, -0.0725, -0.09819, 1.65141, -0.22495, 0.43164, -0.87355, -0.5606, 0.67594, 0.47836, -1.00, 0.64932, 0.99665, -0.00025, 0.81017, -0.0725, -0.09819, 1.65141, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
75, 26, -0.07358, -0.09495, 1.65343, -0.29162, 0.48129, -0.82663, -0.48869, 0.66793, 0.5613, -1.00, 0.65437, 0.99457, 0.02272, -0.00743, -0.07358, -0.09495, 1.65343, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
76, 25, -0.0725, -0.09819, 1.65141, -0.22495, 0.43164, -0.87355, -0.5606, 0.67594, 0.47836, -1.00, 0.64932, 0.99665, -0.00025, 0.81017, -0.0725, -0.09819, 1.65141, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
77, 27, -0.07456, -0.0956, 1.65337, -0.29251, 0.48175, -0.82605, -0.48934, 0.66675, 0.56213, -1.00, 0.65437, 0.99665, 0.01562, 0.78442, -0.07456, -0.0956, 1.65337, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
78, 28, -0.07561, -0.09407, 1.655, -0.43842, 0.62406, -0.6468, -0.30303, 0.57487, 0.76006, -1.00, 0.65774, 0.99665, -0.04192, 0.77907, -0.07561, -0.09407, 1.655, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
79, 26, -0.07358, -0.09495, 1.65343, -0.29162, 0.48129, -0.82663, -0.48869, 0.66793, 0.5613, -1.00, 0.65437, 0.99457, 0.02272, -0.00743, -0.07358, -0.09495, 1.65343, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
80, 27, -0.07456, -0.0956, 1.65337, -0.29251, 0.48175, -0.82605, -0.48934, 0.66675, 0.56213, -1.00, 0.65437, 0.99665, 0.01562, 0.78442, -0.07456, -0.0956, 1.65337, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
81, 28, -0.07561, -0.09407, 1.655, -0.43842, 0.62406, -0.6468, -0.30303, 0.57487, 0.76006, -1.00, 0.65774, 0.99665, -0.04192, 0.77907, -0.07561, -0.09407, 1.655, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
82, 29, -0.07462, -0.09338, 1.65488, -0.43853, 0.62423, -0.64656, -0.28815, 0.58378, 0.75906, -1.00, 0.65774, 0.99457, -0.02613, 0.0401, -0.07462, -0.09338, 1.65488, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
83, 26, -0.07358, -0.09495, 1.65343, -0.29162, 0.48129, -0.82663, -0.48869, 0.66793, 0.5613, -1.00, 0.65437, 0.99457, 0.02272, -0.00743, -0.07358, -0.09495, 1.65343, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
84, 30, -0.07614, -0.0929, 1.657, -0.48216, 0.7948, -0.36852, -0.10986, 0.36248, 0.9255, -1.00, 0.66099, 0.99665, -0.00239, 0.77156, -0.07614, -0.0929, 1.657, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
85, 29, -0.07462, -0.09338, 1.65488, -0.43853, 0.62423, -0.64656, -0.28815, 0.58378, 0.75906, -1.00, 0.65774, 0.99457, -0.02613, 0.0401, -0.07462, -0.09338, 1.65488, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
86, 28, -0.07561, -0.09407, 1.655, -0.43842, 0.62406, -0.6468, -0.30303, 0.57487, 0.76006, -1.00, 0.65774, 0.99665, -0.04192, 0.77907, -0.07561, -0.09407, 1.655, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
87, 30, -0.07614, -0.0929, 1.657, -0.48216, 0.7948, -0.36852, -0.10986, 0.36248, 0.9255, -1.00, 0.66099, 0.99665, -0.00239, 0.77156, -0.07614, -0.0929, 1.657, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
88, 31, -0.07491, -0.09227, 1.6568, -0.48276, 0.79187, -0.37401, -0.1065, 0.37082, 0.92258, -1.00, 0.66099, 0.99457, -0.01916, -0.00997, -0.07491, -0.09227, 1.6568, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
89, 29, -0.07462, -0.09338, 1.65488, -0.43853, 0.62423, -0.64656, -0.28815, 0.58378, 0.75906, -1.00, 0.65774, 0.99457, -0.02613, 0.0401, -0.07462, -0.09338, 1.65488, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
90, 32, -0.07508, -0.09118, 1.66034, -0.4509, 0.86373, -0.22507, 0.01698, 0.26041, 0.96535, -1.00, 0.666, 0.99457, -0.02046, 0.01207, -0.07508, -0.09118, 1.66034, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
91, 31, -0.07491, -0.09227, 1.6568, -0.48276, 0.79187, -0.37401, -0.1065, 0.37082, 0.92258, -1.00, 0.66099, 0.99457, -0.01916, -0.00997, -0.07491, -0.09227, 1.6568, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
92, 30, -0.07614, -0.0929, 1.657, -0.48216, 0.7948, -0.36852, -0.10986, 0.36248, 0.9255, -1.00, 0.66099, 0.99665, -0.00239, 0.77156, -0.07614, -0.0929, 1.657, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
93, 32, -0.07508, -0.09118, 1.66034, -0.4509, 0.86373, -0.22507, 0.01698, 0.26041, 0.96535, -1.00, 0.666, 0.99457, -0.02046, 0.01207, -0.07508, -0.09118, 1.66034, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
94, 30, -0.07614, -0.0929, 1.657, -0.48216, 0.7948, -0.36852, -0.10986, 0.36248, 0.9255, -1.00, 0.66099, 0.99665, -0.00239, 0.77156, -0.07614, -0.0929, 1.657, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
95, 33, -0.07617, -0.09171, 1.66058, -0.44987, 0.86501, -0.22221, 0.02319, 0.26004, 0.96532, -1.00, 0.666, 0.99665, -0.02081, 0.78732, -0.07617, -0.09171, 1.66058, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
96, 34, -0.07584, -0.08945, 1.66969, -0.44395, 0.8756, -0.19035, 0.03753, 0.23041, 0.97237, -1.00, 0.6783, 0.99665, 0.00129, 0.77274, -0.07584, -0.08945, 1.66969, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
97, 32, -0.07508, -0.09118, 1.66034, -0.4509, 0.86373, -0.22507, 0.01698, 0.26041, 0.96535, -1.00, 0.666, 0.99457, -0.02046, 0.01207, -0.07508, -0.09118, 1.66034, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
98, 33, -0.07617, -0.09171, 1.66058, -0.44987, 0.86501, -0.22221, 0.02319, 0.26004, 0.96532, -1.00, 0.666, 0.99665, -0.02081, 0.78732, -0.07617, -0.09171, 1.66058, 1.00, 0.00, 0.00, 0.00, 0, 0, 0, 0
